Performance Date,Play 1 Title,Author 1 Name,Play 1 Genre,Play 1 # of Acts,Play 1 Date of Premier,Play 1 Box Office Receipts,Play 2 Title,Author 2 Name,Play 2 Genre,Play 2 # of Acts,Play 2 Date of Premier,Play 2 Box Office Receipts,Play 3,Company Director,Day of the Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Junio 1748,La más hidalga hermosura,,,,,786,,,,,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Junio 1748,La más hidalga hermosura,,,,,506,,,,,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Junio 1748,El diablo predicador,,,,,572,,,,,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Junio 1748,El diablo predicador,,,,,849,,,,,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Junio 1748,El príncipe tonto,,,,,632,,,,,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Junio 1748,El falso nuncio de Portugal,,,,,495,,,,,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Junio 1748,El falso nuncio de Portugal,,,,,548,,,,,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Junio 1748,*La viña del Señor,,,,,2943,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Junio 1748,*La viña del Señor,,,,,3652,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Junio 1748,*La viña del Señor,,,,,2693,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Junio 1748,*La viña del Señor,,,,,2476,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Junio 1748,*La viña del Señor,,,,,3200,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Junio 1748,*La viña del Señor,,,,,3037,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Junio 1748,*La viña del Señor,,,,,3057,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Junio 1748,*La viña del Señor,,,,,2813,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Junio 1748,*La viña del Señor,,,,,3555,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Junio 1748,*La viña del Señor,,,,,3986,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01 Julio 1748,*La viña del Señor,,,,,3293,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 Julio 1748,*La viña del Señor,,,,,3038,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03 Julio 1748,*La viña del Señor,,,,,2660,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04 Julio 1748,*La viña del Señor,,,,,3003,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05 Julio 1748,*La viña del Señor,,,,,2422,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06 Julio 1748,*La viña del Señor,,,,,1786,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07 Julio 1748,*La viña del Señor,,,,,3297,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 Julio 1748,*La viña del Señor,,,,,2225,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Julio 1748,*La viña del Señor,,,,,2071,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Tuesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Julio 1748,*La viña del Señor,,,,,1322,,Antonio Fernández,Sainetes,1,,,,Manuel de San Miguel,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
